AAON,000001,0.860000,0.870000,2021/05/15 13:45:25
AAVL,000002,1.620000,1.800000,2021/05/29 17:01:25
ABAX,000002,9.380000,9.400000,2021/05/29 17:10:07
ABAX,000002,9.400000,10.000000,2021/05/29 17:10:34
AAON,000007,0.860000,0.890000,2021/05/29 17:16:58
AAON,000007,0.890000,1.000000,2021/05/29 17:18:21
AAON,000002,0.860000,0.900000,2021/05/31 11:12:05
AAWW,000002,3.170000,3.200000,2021/05/31 11:13:41
AAPL,000002,0.750000,7.800000,2021/05/31 11:15:38
AAON,000007,0.860000,0.870000,2021/05/31 12:32:10
AAPL,000001,0.750000,0.800000,2021/05/31 20:35:32
AAPL,000001,0.750000,0.800000,2021/05/31 20:53:56
SMTX,000001,0.270000,0.300000,2021/05/31 20:54:31
SMTX,000001,0.270000,0.300000,2021/05/31 20:56:13
AAON,000002,0.860000,0.900000,2021/05/31 22:30:39
AAPL,000002,0.750000,0.800000,2021/05/31 22:32:13
